Subj,Crse,# Sec,Mode,Cred,Title,XList,Rest,Preq,Coreq,Instructor,Enroll Estimate,"Multi Campus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,7030,1,TR,2,MSCS Ready: Module 3,,R,,,Eileen Theresa Kraemer (P),15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,7030,1,SYNCH,2,MSCS Ready: Module 3,,R,,,Eileen Theresa Kraemer (P),20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,8030,1,TR,3,Scientific Visualization,,R,P,,Federico Iuricich (P),40,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,8120,1,SYNCH,2,MSCS Ready: Module 4,,R,,,Eileen Theresa Kraemer (P),10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,8120,1,SYNCH,2,MSCS Ready: Module 4,,R,,,Dan Wooster (P),15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,8190,1,TR,3,Physically Based Visual Effects,,R,P,,Jerry A. Tessendorf (P),10,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,8230,1,TR,3,Intro to Quantum Computing,,R,,,Rong Ge (P),40,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,8400,1,CRSRA,3,Design and Analysis of Algorithms,,R,,,Brian C. Dean (P),70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,8470,1,TR,3,Information Retrieval,,R,,,Feng Luo (P),65,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,8570,1,TR,3,Security in Advanced Networking Technologies,,R,,,Long Cheng (P),65,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,8650,1,TR,3,Data Mining,,R,,,James Wang (P),50,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,8740,1,TR,3,AI Receptive Software Engineering,,R,,,Paige Anne Rodeghero (P),65,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,8740,1,CRSRA,3,AI Receptive Software Engineering,,R,,,Paige Anne Rodeghero (P),70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,8810,1,TR,3,ST: ML for Graph Data,EC09,R,,,Aaron Masino (P),30,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,8810,1,TR,3,ST: Side Channel Issues in Cybersecurity ,EC09,R,,,Zhenkai Zhang (P),40,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,8810,1,TR,3,ST: Gaze Sensing in XR,EC09,R,,,Andrew Duchowski (P),20,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,8810,1,TR,3,ST: HPC For Power System,EC09,R,,,Shuangshuang Jin (P),30,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,8810,1,TR,3,ST: Deep Learning for Compu Photography,,,,,Nianyi Li,40,X ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCC,4+6400,1,TR,3,Measurement and Evaluation of Human-Centered Computing Systems,K23,,P,,B. Knijnenburg (P),20,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCC,4+6510,1,TR,3,Inclusive Design and Accessible Technology,K21,,P,,Emma Dixon (P),25,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCC,4+6520,1,TR,3,"Tangible, Embedded, and Embodied Interaction",K21,,P,,Brygg Ullmer (P),15,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCC,4+6600,1,TR,3,Human Centered AI,K23,R,,,C. Toxtli Hern.,50,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCC,8500,1,TR,3,The Science of Teamwork and Technology,,R,,,N. McNeese (P),25,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPA,3070,1,TR,3,Studio Methods for Digital Production,,,,,R. F. Da Costa (P),9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPA,4+6010,1,TR,3,Technical Foundations of Digital Production II,K25,R,P,,Joe Kider (P),15,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPA,4+6030,1,TR,3,Visual Foundations of Digital Production II,K24,R,P,,A. Summey (P),10,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPA,4+6820a,1,TR,3,Special Topics: Advanced Rigging,K27,,P,,R. F. Da Costa (P),10,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPA,4+6820b,1,TR,3,Special Topics: Visual Effects Animation,K28,,P,,R. F. Da Costa (P),10,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPA,6830,1,TR,3,StoryBoarding,,R,P,,A. Summey (P),10,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPA,8080,1,TR,3,Artistic Character Animation,,R,P,,David Donar (P),10,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPA,8090,1,TR,3,Rendering and Shading,,R,P,,Singh Dhillon (P),10,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPA,8150,1,TR,3,Special Effects Compositing,,R,P,,Eric K Patterson (P),10,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPA,8600,1,TR,1 to 6,Digital Production Studio,,R,,,David Donar (P),5,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
